time,temp_in,temp_out,temp_target,temp_interval,fan,heat
1683819117,23.9375,23.4375,None,None,0,0
1683819118,23.8125,23.375,None,None,0,0
1683819119,23.8125,23.4375,None,None,0,0
1683819120,23.875,23.375,None,None,0,0
1683819121,23.875,23.375,None,None,0,0
1683819122,23.875,23.4375,None,None,0,0
1683819123,23.875,23.375,None,None,0,0
1683819124,23.875,23.375,None,None,0,0
1683819125,23.875,23.4375,None,None,0,0
1683819126,23.875,23.4375,None,None,0,0
1683819127,23.875,23.4375,None,None,0,0
1683819128,23.875,23.4375,None,None,0,0
1683819129,23.875,23.375,None,None,0,0
1683819130,23.875,23.375,None,None,0,0
1683819131,23.875,23.375,None,None,0,0
1683819132,23.875,23.375,None,None,0,0
1683819133,23.875,23.4375,None,None,0,0
1683819134,23.875,23.375,None,None,0,0
1683819136,23.875,23.375,None,None,0,0
1683819137,23.875,23.4375,None,None,0,0
1683819138,23.875,23.375,None,None,0,0
1683819139,23.8125,23.4375,None,None,0,0
1683819140,23.875,23.375,None,None,0,0
1683819141,23.875,23.4375,None,None,0,0
1683819142,23.875,23.4375,None,None,0,0
1683819143,23.875,23.375,None,None,0,0
1683819144,23.875,23.4375,None,None,0,0
1683819145,23.875,23.375,None,None,0,0
1683819146,23.875,23.375,None,None,0,0
