time,temp_in,temp_out,temp_target,temp_interval,fan,heat
1684151449,21.375,19.6875,None,None,0,0
1684151450,21.3125,19.6875,None,None,0,0
1684151452,21.375,19.6875,None,None,0,0
1684151453,21.375,19.6875,None,None,0,0
1684151454,21.375,19.6875,None,None,0,0
1684151455,21.375,19.6875,None,None,0,0
1684151456,21.375,19.6875,None,None,0,0
1684151457,21.3125,19.6875,None,None,0,0
1684151458,21.375,19.6875,None,None,0,0
1684151459,21.3125,19.6875,None,None,0,0
1684151460,21.375,19.6875,None,None,0,0
1684151461,21.375,19.6875,None,None,0,0
1684151462,21.375,19.625,None,None,0,0
1684151463,21.3125,19.6875,None,None,0,0
1684151464,21.375,19.6875,None,None,0,0
1684151465,21.375,19.6875,None,None,0,0
1684151466,21.375,19.6875,None,None,0,0
1684151467,21.375,19.6875,None,None,0,0
1684151468,21.375,19.6875,None,None,0,0
1684151469,21.3125,19.6875,None,None,0,0
1684151470,21.3125,19.6875,None,None,0,0
1684151471,21.375,19.6875,None,None,0,0
1684151472,21.375,19.6875,None,None,0,0
1684151473,21.375,19.6875,None,None,0,0
1684151474,21.375,19.6875,None,None,0,0
1684151475,21.3125,19.6875,None,None,0,0
1684151476,21.375,19.6875,None,None,0,0
1684151477,21.3125,19.6875,None,None,0,0
1684151478,21.375,19.75,None,None,0,0
1684151480,21.375,19.6875,None,None,0,0
1684151481,21.375,19.6875,None,None,0,0
1684151482,21.375,19.6875,None,None,0,0
1684151483,21.375,19.6875,None,None,0,0
1684151484,21.375,19.6875,None,None,0,0
1684151485,21.3125,19.6875,None,None,0,0
1684151486,21.3125,19.6875,None,None,0,0
1684151487,21.3125,19.6875,None,None,0,0
1684151488,21.375,19.6875,None,None,0,0
1684151489,21.3125,19.6875,None,None,0,0
1684151490,21.3125,19.6875,None,None,0,0
1684151491,21.3125,19.6875,None,None,0,0
1684151492,21.3125,19.6875,None,None,0,0
1684151493,21.3125,19.6875,None,None,0,0
1684151494,21.3125,19.6875,None,None,0,0
1684151495,21.3125,19.6875,None,None,0,0
1684151496,21.3125,19.6875,None,None,0,0
1684151497,21.3125,19.75,None,None,0,0
1684151498,21.3125,19.6875,None,None,0,0
1684151499,21.3125,19.6875,None,None,0,0
1684151500,21.3125,19.6875,None,None,0,0
1684151501,21.3125,19.6875,None,None,0,0
1684151502,21.3125,19.6875,None,None,0,0
1684151503,21.3125,19.6875,22.0,0.0,0,0
1684151505,21.3125,19.6875,22.0,0.0,0,0
1684151506,21.3125,19.6875,22.0,0.0,0,20.49553
1684151507,21.3125,19.6875,22.0,0.0,0,20.49553
1684151508,21.25,19.6875,22.0,0.0,0,20.25
1684151509,21.3125,19.6875,22.0,0.0,0,20.25
1684151510,21.3125,19.6875,22.0,0.0,0,20.25
1684151511,21.3125,19.6875,22.0,0.0,0,20.25
1684151512,21.3125,19.6875,22.0,0.0,0,20.25
1684151513,21.3125,19.75,22.0,0.0,0,20.25
1684151514,21.3125,19.6875,22.0,0.0,0,20.25
1684151515,21.3125,19.75,22.0,0.0,0,20.25
1684151516,21.3125,19.6875,22.0,0.0,0,20.25
1684151517,21.3125,19.6875,22.0,0.0,0,20.25
1684151518,21.3125,19.6875,22.0,0.0,0,20.25
1684151519,21.3125,19.75,22.0,0.0,0,20.25
1684151520,21.3125,19.6875,22.0,0.0,0,20.25
1684151521,21.25,19.6875,22.0,0.0,0,20.25
1684151522,21.3125,19.6875,22.0,0.0,0,22.625
1684151523,21.25,19.6875,22.0,0.0,0,22.625
1684151524,21.3125,19.6875,22.0,0.0,0,22.0
1684151525,21.25,19.6875,22.0,0.0,0,22.0
1684151526,21.3125,19.75,22.0,0.0,0,22.0
1684151527,21.25,19.75,22.0,0.0,0,22.0
1684151528,21.3125,19.6875,22.0,0.0,0,22.0
1684151529,21.3125,19.6875,22.0,0.0,0,22.0
1684151530,21.3125,19.6875,22.0,0.0,0,19.625
1684151532,21.3125,19.6875,22.0,0.0,0,20.25
1684151533,21.3125,19.75,22.0,0.0,0,20.25
1684151534,21.3125,19.6875,22.0,0.0,0,20.25
1684151535,21.3125,19.75,22.0,0.0,0,20.25
1684151536,21.3125,19.6875,22.0,0.0,0,20.25
1684151537,21.3125,19.75,22.0,0.0,0,20.25
1684151538,21.3125,19.75,22.0,0.0,0,20.25
1684151539,21.25,19.75,22.0,0.0,0,20.25
1684151540,21.25,19.75,22.0,0.0,0,22.625
1684151541,21.25,19.6875,22.0,0.0,0,22.625
1684151542,21.25,19.75,22.0,0.0,0,22.0
1684151543,21.3125,19.6875,22.0,0.0,0,22.0
1684151544,21.25,19.6875,22.0,0.0,0,19.625
1684151545,21.3125,19.6875,22.0,0.0,0,19.625
1684151546,21.3125,19.75,22.0,0.0,0,20.25
1684151547,21.25,19.75,22.0,0.0,0,20.25
1684151548,21.3125,19.6875,22.0,0.0,0,22.625
1684151549,21.25,19.75,22.0,0.0,0,22.625
1684151550,21.3125,19.6875,22.0,0.0,0,22.0
1684151551,21.3125,19.75,22.0,0.0,0,22.0
1684151552,21.3125,19.6875,22.0,0.0,0,19.83333
1684151553,21.25,19.75,22.0,0.0,0,19.83333
1684151554,21.25,19.75,22.0,0.0,0,22.625
1684151555,21.3125,19.6875,22.0,0.0,0,22.625
1684151556,21.25,19.75,22.0,0.0,0,19.625
1684151557,21.25,19.75,22.0,0.0,0,19.625
1684151558,21.3125,19.75,22.0,0.0,0,22.625
1684151560,21.3125,19.6875,22.0,0.0,0,19.625
1684151561,21.3125,19.75,22.0,0.0,0,19.625
1684151562,21.3125,19.6875,22.0,0.0,0,20.25
1684151563,21.3125,19.75,22.0,0.0,0,20.25
1684151564,21.3125,19.75,22.0,0.0,0,20.25
1684151565,21.25,19.6875,22.0,0.0,0,20.25
1684151566,21.3125,19.6875,22.0,0.0,0,22.625
1684151567,21.25,19.6875,22.0,0.0,0,22.625
1684151568,21.25,19.6875,22.0,0.0,0,22.0
1684151569,21.3125,19.6875,22.0,0.0,0,22.0
1684151570,21.3125,19.75,22.0,0.0,0,19.625
1684151571,21.3125,19.75,22.0,0.0,0,19.625
1684151572,21.3125,19.75,22.0,0.0,0,20.25
1684151573,21.3125,19.6875,22.0,0.0,0,20.25
1684151574,21.3125,19.75,22.0,0.0,0,20.25
1684151575,21.3125,19.75,22.0,0.0,0,20.25
1684151576,21.3125,19.75,22.0,0.0,0,20.25
1684151577,21.3125,19.6875,22.0,0.0,0,20.25
1684151578,21.3125,19.6875,22.0,0.0,0,20.25
1684151579,21.3125,19.75,22.0,0.0,0,20.25
1684151580,21.3125,19.75,22.0,0.0,0,20.25
1684151581,21.3125,19.6875,22.0,0.0,0,20.25
1684151582,21.3125,19.75,22.0,0.0,0,20.25
1684151583,21.3125,19.6875,22.0,0.0,0,20.25
1684151584,21.3125,19.75,22.0,0.0,0,20.25
1684151585,21.3125,19.75,22.0,0.0,0,20.25
1684151586,21.3125,19.75,22.0,0.0,0,20.25
1684151588,21.3125,19.75,22.0,0.0,0,20.25
1684151589,21.3125,19.75,22.0,0.0,0,20.25
1684151590,21.375,19.75,22.0,0.0,0,20.25
1684151591,21.3125,19.75,22.0,0.0,0,20.25
1684151592,21.3125,19.75,22.0,0.0,0,20.25
1684151593,21.375,19.75,22.0,0.0,0,20.25
1684151594,21.375,19.75,22.0,0.0,0,17.875
1684151595,21.375,19.75,22.0,0.0,0,17.875
1684151596,21.375,19.75,22.0,0.0,0,18.5
1684151597,21.375,19.75,22.0,0.0,0,18.5
1684151598,21.375,19.75,22.0,0.0,0,18.5
1684151599,21.375,19.75,22.0,0.0,0,18.5
1684151600,21.375,19.75,22.0,0.0,0,18.5
1684151601,21.375,19.75,22.0,0.0,0,18.5
1684151602,21.375,19.75,22.0,0.0,0,18.5
1684151603,21.4375,19.75,22.0,0.0,0,18.5
1684151604,21.4375,19.75,22.0,0.0,0,16.125
1684151605,21.4375,19.75,22.0,0.0,0,16.125
1684151606,21.375,19.75,22.0,0.0,0,16.75
1684151607,21.375,19.75,22.0,0.0,0,16.75
1684151608,21.375,19.75,22.0,0.0,0,19.125
1684151609,21.4375,19.75,22.0,0.0,0,19.125
1684151610,21.4375,19.8125,22.0,0.0,0,16.125
1684151611,21.4375,19.75,22.0,0.0,0,16.125
1684151612,21.4375,19.8125,22.0,0.0,0,16.75
1684151613,21.4375,19.8125,22.0,0.0,0,16.75
1684151614,21.4375,19.8125,22.0,0.0,0,16.75
1684151615,21.4375,19.8125,22.0,0.0,0,16.75
1684151617,21.4375,19.8125,22.0,0.0,0,16.75
1684151618,21.4375,19.75,22.0,0.0,0,16.75
1684151619,21.4375,19.8125,22.0,0.0,0,16.75
1684151620,21.4375,19.8125,22.0,0.0,0,16.75
1684151621,21.4375,19.8125,22.0,0.0,0,16.75
1684151622,21.4375,19.8125,22.0,0.0,0,16.75
1684151623,21.5,19.8125,22.0,0.0,0,16.75
1684151624,21.5,19.75,22.0,0.0,0,14.375
1684151625,21.5,19.8125,22.0,0.0,0,14.375
1684151626,21.5,19.8125,22.0,0.0,0,15.0
1684151627,21.4375,19.875,22.0,0.0,0,15.0
1684151628,21.4375,19.8125,22.0,0.0,0,17.375
1684151629,21.5,19.875,22.0,0.0,0,17.375
1684151630,21.5,19.8125,22.0,0.0,0,14.375
1684151631,21.5,19.8125,22.0,0.0,0,14.375
1684151632,21.5,19.875,22.0,0.0,0,15.0
1684151633,21.5625,19.875,22.0,0.0,0,15.0
1684151634,21.5,19.875,22.0,0.0,0,12.625
1684151635,21.5,19.875,22.0,0.0,0,12.625
1684151636,21.5,19.875,22.0,0.0,0,15.625
1684151637,21.5,19.875,22.0,0.0,0,15.625
1684151638,21.5625,19.8125,22.0,0.0,0,15.0
1684151639,21.5625,19.875,22.0,0.0,0,15.0
1684151640,21.5625,19.875,22.0,0.0,0,12.625
1684151641,21.5625,19.875,22.0,0.0,0,12.625
1684151642,21.5625,19.875,22.0,0.0,0,13.25
1684151643,21.5625,19.875,22.0,0.0,0,13.25
1684151645,21.5625,19.875,22.0,0.0,0,13.25
1684151646,21.5625,19.875,22.0,0.0,0,13.25
1684151647,21.5625,19.875,22.0,0.0,0,13.25
1684151648,21.5625,19.875,22.0,0.0,0,13.25
1684151649,21.625,19.8125,22.0,0.0,0,13.25
1684151650,21.625,19.875,22.0,0.0,0,10.875
1684151651,21.625,19.9375,22.0,0.0,0,10.875
1684151652,21.625,19.9375,22.0,0.0,0,11.5
1684151653,21.625,19.875,22.0,0.0,0,11.5
1684151654,21.625,19.875,22.0,0.0,0,11.5
1684151655,21.625,19.875,22.0,0.0,0,11.5
1684151656,21.625,19.875,22.0,0.0,0,11.5
1684151657,21.625,19.875,22.0,0.0,0,11.5
1684151658,21.625,19.875,22.0,0.0,0,11.5
1684151659,21.625,19.9375,22.0,0.0,0,11.5
1684151660,21.6875,19.9375,22.0,0.0,0,11.5
1684151661,21.6875,19.9375,22.0,0.0,0,11.5
1684151662,21.6875,19.875,22.0,0.0,0,9.125
1684151663,21.6875,19.875,22.0,0.0,0,9.125
1684151664,21.6875,19.875,22.0,0.0,0,9.75
1684151665,21.6875,19.9375,22.0,0.0,0,9.75
1684151666,21.6875,19.875,22.0,0.0,0,9.75
1684151667,21.6875,19.9375,22.0,0.0,0,9.75
1684151668,21.6875,19.9375,22.0,0.0,0,9.75
1684151669,21.75,19.875,22.0,0.0,0,9.75
1684151670,21.75,19.9375,22.0,0.0,0,7.375
1684151671,21.75,19.9375,22.0,0.0,0,7.375
1684151673,21.75,19.875,22.0,0.0,0,8.0
1684151674,21.75,19.9375,22.0,0.0,0,8.0
