time,temp_in,temp_out,fan,heat,state
1682988475,23,0,0,0,0
1682988559,23,0,0,0,0
1682988561,23,0,0,0,0
1682988562,23,0,0,0,0
1682988564,23,0,0,0,0
1682988565,23,0,0,0,0
1682988567,23,0,0,0,0
1682988568,23,0,0,0,0
1682988570,23,0,0,0,0
1682988571,23,0,0,0,0
1682988573,23,0,0,0,0
1682988574,23,0,0,0,0
1682988576,23,0,0,0,0
1682988577,23,0,0,0,0
1682988579,23,0,0,0,0
1682988580,23,0,0,0,0
1682988582,23,0,0,0,0
1682988583,23,0,0,0,0
1682988585,23,0,0,0,0
1682988586,23,0,0,0,0
1682988588,23,0,0,0,0
1682988589,23,0,0,0,0
1682988591,23,0,0,0,0
1682988592,23,0,0,0,0
1682988594,23,0,0,0,0
1682988595,23,0,0,0,0
1682988597,23,0,0,0,0
1682988598,23,0,0,0,0
1682988600,23,0,0,0,0
1682988601,23,0,0,0,0
1682988603,23,0,0,0,0
1682988604,23,0,0,0,0
1682988708,23,0,0,0,0
1682988708,23,0,0,0,0
1682988709,23,0,0,0,0
1682988709,23,0,0,0,0
1682988710,23,0,0,0,0
1682988710,23,0,0,0,0
1682988711,23,0,0,0,0
1682988711,23,0,0,0,0
1682988712,23,0,0,0,0
1682988712,23,0,0,0,0
1682988714,23,0,0,0,0
1682988714,23,0,0,0,0
1682988715,23,0,0,0,0
1682988715,23,0,0,0,0
1682988716,23,0,0,0,0
1682988716,23,0,0,0,0
1682988717,23,0,0,0,0
1682988717,23,0,0,0,0
1682988718,23,0,0,0,0
1682988718,23,0,0,0,0
1682988720,23,0,0,0,0
1682988720,23,0,0,0,0
1682988721,23,0,0,0,0
1682988721,23,0,0,0,0
1682988722,23,0,0,0,0
1682988722,23,0,0,0,0
1682988723,23,0,0,0,0
1682988723,23,0,0,0,0
1682988724,23,0,0,0,0
1682988724,23,0,0,0,0
1682988726,23,0,0,0,0
1682988726,23,0,0,0,0
1682988727,23,0,0,0,0
1682988727,23,0,0,0,0
1682988728,23,0,0,0,0
1682988728,23,0,0,0,0
1682988729,23,0,0,0,0
1682988729,23,0,0,0,0
1682988730,23,0,0,0,0
1682988730,23,0,0,0,0
1682988732,23,0,0,0,0
1682988732,23,0,0,0,0
1682988733,23,0,0,0,0
1682988733,23,0,0,0,0
1682988734,23,0,0,0,0
1682988734,23,0,0,0,0
1682988735,23,0,0,0,0
1682988735,23,0,0,0,0
1682988736,23,0,0,0,0
1682988736,23,0,0,0,0
1682988738,23,0,0,0,0
1682988738,23,0,0,0,0
1682988739,23,0,0,0,0
1682988739,23,0,0,0,0
1682988740,23,0,0,0,0
1682988740,23,0,0,0,0
1682988741,23,0,0,0,0
1682988741,23,0,0,0,0
1682988742,23,0,0,0,0
1682988742,23,0,0,0,0
1682988744,23,0,0,0,0
1682988744,23,0,0,0,0
1682988745,23,0,0,0,0
1682988745,23,0,0,0,0
1682988746,23,0,0,0,0
1682988746,23,0,0,0,0
1682988747,23,0,0,0,0
1682988747,23,0,0,0,0
1682988748,23,0,0,0,0
1682988748,23,0,0,0,0
1682988750,23,0,0,0,0
1682988750,23,0,0,0,0
1682988751,23,0,0,0,0
1682988751,23,0,0,0,0
1682988752,23,0,0,0,0
1682988752,23,0,0,0,0
1682988753,23,0,0,0,0
1682988753,23,0,0,0,0
1682988754,23,0,0,0,0
1682988754,23,0,0,0,0
1682988756,23,0,0,0,0
1682988756,23,0,0,0,0
1682988757,23,0,0,0,0
1682988757,23,0,0,0,0
1682988758,23,0,0,0,0
1682988758,23,0,0,0,0
1682988759,23,0,0,0,0
1682988759,23,0,0,0,0
1682988760,23,0,0,0,0
1682988760,23,0,0,0,0
1682988762,23,0,0,0,0
1682988762,23,0,0,0,0
1682988763,23,0,0,0,0
1682988763,23,0,0,0,0
1682988764,23,0,0,0,0
1682988764,23,0,0,0,0
1682988765,23,0,0,0,0
1682988765,23,0,0,0,0
1682988766,23,0,0,0,0
1682988766,23,0,0,0,0
1682988768,23,0,0,0,0
1682988768,23,0,0,0,0
1682988769,23,0,0,0,0
1682988769,23,0,0,0,0
1682988770,23,0,0,0,0
1682988770,23,0,0,0,0
1682988771,23,0,0,0,0
1682988771,23,0,0,0,0
1682988772,23,0,0,0,0
1682988772,23,0,0,0,0
1682988774,23,0,0,0,0
1682988774,23,0,0,0,0
1682988775,23,0,0,0,0
1682988775,23,0,0,0,0
1682988776,23,0,0,0,0
1682988776,23,0,0,0,0
1682988777,23,0,0,0,0
1682988777,23,0,0,0,0
1682988778,23,0,0,0,0
1682988778,23,0,0,0,0
1682988780,23,0,0,0,0
1682988780,23,0,0,0,0
1682988781,23,0,0,0,0
1682988781,23,0,0,0,0
1682988782,23,0,0,0,0
1682988782,23,0,0,0,0
1682988783,23,0,0,0,0
1682988783,23,0,0,0,0
1682988784,23,0,0,0,0
1682988784,23,0,0,0,0
1682988786,23,0,0,0,0
1682988786,23,0,0,0,0
1682988787,23,0,0,0,0
1682988787,23,0,0,0,0
1682988788,23,0,0,0,0
1682988788,23,0,0,0,0
1682988789,23,0,0,0,0
1682988789,23,0,0,0,0
1682988790,23,0,0,0,0
1682988790,23,0,0,0,0
1682988792,23,0,0,0,0
1682988792,23,0,0,0,0
1682988793,23,0,0,0,0
1682988793,23,0,0,0,0
1682988794,23,0,0,0,0
1682988794,23,0,0,0,0
1682988795,23,0,0,0,0
1682988795,23,0,0,0,0
1682988796,23,0,0,0,0
1682988796,23,0,0,0,0
1682988798,23,0,0,0,0
1682988798,23,0,0,0,0
1682988799,23,0,0,0,0
1682988799,23,0,0,0,0
1682988800,23,0,0,0,0
1682988800,23,0,0,0,0
1682988801,23,0,0,0,0
1682988801,23,0,0,0,0
1682988802,23,0,0,0,0
1682988802,23,0,0,0,0
1682988804,23,0,0,0,0
1682988804,23,0,0,0,0
1682988805,23,0,0,0,0
1682988805,23,0,0,0,0
1682988806,23,0,0,0,0
1682988806,23,0,0,0,0
1682988807,23,0,0,0,0
1682988807,23,0,0,0,0
1682988808,23,0,0,0,0
1682988808,23,0,0,0,0
1682988810,23,0,0,0,0
1682988810,23,0,0,0,0
1682988811,23,0,0,0,0
1682988811,23,0,0,0,0
1682988812,23,0,0,0,0
