time,temp_in,temp_out,temp_target,temp_interval,fan,heat
1683819169,23.875,23.4375,None,None,0,0
1683819170,23.8125,23.375,None,None,0,0
1683819171,23.8125,23.375,None,None,0,0
1683819172,23.875,23.375,None,None,0,0
1683819173,23.8125,23.375,None,None,0,0
1683819174,23.8125,23.375,None,None,0,0
1683819175,23.875,23.375,None,None,0,0
1683819176,23.8125,23.375,None,None,0,0
1683819177,23.8125,23.375,None,None,0,0
1683819178,23.8125,23.375,None,None,0,0
1683819179,23.875,23.375,None,None,0,0
1683819180,23.8125,23.375,None,None,0,0
1683819181,23.875,23.375,None,None,0,0
1683819182,23.875,23.375,None,None,0,0
1683819183,23.875,23.375,None,None,0,0
1683819184,23.8125,23.4375,None,None,0,0
1683819185,23.875,23.375,None,None,0,0
1683819186,23.875,23.375,None,None,0,0
1683819187,23.875,23.375,None,None,0,0
1683819188,23.875,23.375,None,None,0,0
1683819190,23.875,23.375,None,None,0,0
1683819191,23.8125,23.4375,None,None,0,0
1683819192,23.875,23.375,None,None,0,0
1683819193,23.875,23.375,None,None,0,0
1683819194,23.875,23.4375,None,None,0,0
1683819195,23.8125,23.4375,None,None,0,0
1683819196,23.8125,23.375,None,None,0,0
1683819197,23.8125,23.375,None,None,0,0
1683819198,23.875,23.375,None,None,0,0
1683819199,23.875,23.4375,None,None,0,0
1683819200,23.8125,23.375,None,None,0,0
1683819201,23.8125,23.4375,None,None,0,0
1683819202,23.875,23.375,None,None,0,0
1683819203,23.8125,23.4375,None,None,0,0
1683819204,23.875,23.375,None,None,0,0
1683819205,23.8125,23.375,None,None,0,0
1683819206,23.8125,23.375,None,None,0,0
1683819207,23.875,23.375,None,None,0,0
1683819208,23.8125,23.375,None,None,0,0
1683819209,23.8125,23.375,None,None,0,0
1683819210,23.8125,23.375,None,None,0,0
1683819211,23.8125,23.375,None,None,0,0
1683819212,23.875,23.375,None,None,0,0
1683819213,23.8125,23.375,None,None,0,0
1683819214,23.8125,23.375,None,None,0,0
1683819215,23.8125,23.375,None,None,0,0
1683819216,23.875,23.4375,None,None,0,0
1683819218,23.8125,23.375,None,None,0,0
1683819219,23.8125,23.375,None,None,0,0
1683819220,23.8125,23.375,None,None,0,0
1683819221,23.875,23.375,None,None,0,0
1683819222,23.875,23.375,None,None,0,0
1683819223,23.8125,23.375,None,None,0,0
1683819224,23.875,23.4375,None,None,0,0
1683819225,23.75,23.375,None,None,0,0
1683819226,23.8125,23.4375,None,None,0,0
1683819227,23.875,23.375,None,None,0,0
1683819228,23.8125,23.375,None,None,0,0
1683819229,23.8125,23.375,None,None,0,0
1683819230,23.8125,23.375,None,None,0,0
1683819231,23.8125,23.375,None,None,0,0
1683819232,23.8125,23.375,None,None,0,0
1683819233,23.875,23.375,None,None,0,0
1683819234,23.8125,23.375,None,None,0,0
1683819235,23.8125,23.375,None,None,0,0
1683819236,23.875,23.375,None,None,0,0
1683819237,23.8125,23.375,None,None,0,0
1683819238,23.8125,23.375,None,None,0,0
1683819239,23.8125,23.375,None,None,0,0
1683819240,23.875,23.375,None,None,0,0
1683819241,23.8125,23.375,None,None,0,0
1683819242,23.8125,23.375,None,None,0,0
1683819243,23.75,23.375,None,None,0,0
1683819244,23.8125,23.375,None,None,0,0
1683819246,23.8125,23.375,None,None,0,0
1683819247,23.8125,23.375,None,None,0,0
1683819248,23.8125,23.375,None,None,0,0
1683819249,23.8125,23.4375,None,None,0,0
1683819250,23.8125,23.375,None,None,0,0
1683819251,23.8125,23.375,None,None,0,0
1683819252,23.8125,23.375,None,None,0,0
1683819253,23.8125,23.375,None,None,0,0
1683819254,23.75,23.375,None,None,0,0
1683819255,23.8125,23.375,None,None,0,0
1683819256,23.8125,23.375,None,None,0,0
1683819257,23.8125,23.375,None,None,0,0
1683819258,23.8125,23.3125,None,None,0,0
1683819259,23.75,23.375,None,None,0,0
1683819260,23.8125,23.3125,None,None,0,0
1683819261,23.8125,23.3125,None,None,0,0
1683819262,23.8125,23.375,None,None,0,0
1683819263,23.75,23.3125,24.0,0.0,0,0
1683819264,23.75,23.3125,24.0,0.0,0,0
1683819265,23.75,23.3125,24.0,0.0,0,58.90104
1683819266,23.8125,23.3125,24.0,0.0,0,58.90104
1683819267,23.8125,23.3125,24.0,0.0,0,56.34375
1683819268,23.8125,23.3125,24.0,0.0,0,56.34375
1683819269,23.8125,23.3125,24.0,0.0,0,56.65625
1683819270,23.8125,23.3125,24.0,0.0,0,56.65625
1683819271,23.8125,23.375,24.0,0.0,0,56.65625
1683819272,23.75,23.3125,24.0,0.0,0,56.65625
1683819274,23.8125,23.3125,24.0,0.0,0,59.1875
1683819275,23.75,23.375,24.0,0.0,0,59.1875
1683819276,23.8125,23.3125,24.0,0.0,0,58.875
1683819277,23.8125,23.3125,24.0,0.0,0,58.875
1683819278,23.8125,23.3125,24.0,0.0,0,56.34375
1683819279,23.75,23.3125,24.0,0.0,0,56.34375
1683819280,23.8125,23.375,24.0,0.0,0,59.1875
1683819281,23.8125,23.3125,24.0,0.0,0,59.1875
1683819282,23.8125,23.3125,24.0,0.0,0,56.34375
1683819283,23.75,23.3125,24.0,0.0,0,56.65625
1683819284,23.8125,23.3125,24.0,0.0,0,56.65625
1683819285,23.75,23.3125,24.0,0.0,0,56.65625
