time,temp_in,temp_out,temp_target,temp_interval,fan,heat
1683820342,25.625,23.25,None,None,0,0
1683820343,25.5,23.25,None,None,0,0
1683820344,25.5,23.25,None,None,0,0
1683820345,25.5,23.25,None,None,0,0
1683820346,25.5625,23.25,None,None,0,0
1683820347,25.5,23.25,None,None,0,0
1683820348,25.5,23.25,None,None,0,0
1683820349,25.5,23.25,None,None,0,0
1683820350,25.5,23.25,None,None,0,0
1683820351,25.5,23.25,None,None,0,0
1683820352,25.4375,23.25,None,None,0,0
1683820353,25.5,23.25,None,None,0,0
1683820354,25.5,23.25,None,None,0,0
1683820355,25.5,23.25,None,None,0,0
1683820356,25.5,23.25,None,None,0,0
1683820357,25.5,23.25,None,None,0,0
1683820358,25.5,23.25,None,None,0,0
1683820359,25.5,23.25,None,None,0,0
1683820360,25.5,23.25,None,None,0,0
1683820362,25.5,23.3125,None,None,0,0
1683820363,25.5,23.25,None,None,0,0
1683820364,25.5,23.25,None,None,0,0
1683820365,25.4375,23.25,None,None,0,0
1683820366,25.4375,23.25,None,None,0,0
1683820367,25.4375,23.25,None,None,0,0
1683820368,25.4375,23.25,None,None,0,0
1683820369,25.4375,23.25,None,None,0,0
1683820370,25.4375,23.25,None,None,0,0
1683820371,25.375,23.25,None,None,0,0
1683820372,25.375,23.25,None,None,0,0
1683820373,25.375,23.25,None,None,0,0
1683820374,25.375,23.3125,None,None,0,0
1683820375,25.3125,23.25,None,None,0,0
1683820376,25.375,23.25,None,None,0,0
1683820377,25.3125,23.3125,None,None,0,0
1683820378,25.3125,23.25,None,None,0,0
1683820379,25.3125,23.25,None,None,0,0
1683820380,25.3125,23.25,None,None,0,0
1683820381,25.3125,23.3125,None,None,0,0
1683820382,25.3125,23.3125,None,None,0,0
1683820383,25.3125,23.3125,None,None,0,0
1683820384,25.3125,23.25,None,None,0,0
1683820385,25.3125,23.3125,None,None,0,0
1683820386,25.3125,23.25,None,None,0,0
1683820387,25.25,23.25,None,None,0,0
1683820388,25.25,23.25,None,None,0,0
1683820389,25.25,23.25,None,None,0,0
1683820391,25.25,23.3125,None,None,0,0
1683820392,25.1875,23.3125,None,None,0,0
1683820393,25.1875,23.25,None,None,0,0
1683820394,25.1875,23.25,None,None,0,0
1683820395,25.1875,23.25,None,None,0,0
1683820396,25.1875,23.3125,None,None,0,0
1683820397,25.1875,23.3125,None,None,0,0
1683820398,25.1875,23.3125,None,None,0,0
1683820399,25.125,23.25,None,None,0,0
1683820400,25.125,23.25,None,None,0,0
1683820401,25.125,23.3125,None,None,0,0
1683820402,25.125,23.3125,None,None,0,0
1683820403,25.125,23.25,None,None,0,0
1683820404,25.125,23.25,None,None,0,0
1683820405,25.125,23.25,None,None,0,0
1683820406,25.125,23.25,None,None,0,0
1683820407,25.125,23.25,None,None,0,0
1683820408,25.125,23.25,None,None,0,0
1683820409,25.125,23.25,None,None,0,0
1683820410,25.125,23.25,None,None,0,0
1683820411,25.0625,23.25,None,None,0,0
1683820412,25.125,23.25,None,None,0,0
1683820413,25.0625,23.3125,None,None,0,0
1683820414,25.0625,23.3125,None,None,0,0
1683820415,25.0625,23.3125,None,None,0,0
1683820416,25.0625,23.3125,None,None,0,0
1683820417,25.0625,23.3125,None,None,0,0
1683820419,25.0,23.3125,None,None,0,0
1683820420,25.0,23.25,None,None,0,0
1683820421,25.0,23.25,None,None,0,0
1683820422,25.0,23.25,None,None,0,0
1683820423,25.0,23.3125,None,None,0,0
1683820424,25.0,23.3125,None,None,0,0
1683820425,25.0,23.25,None,None,0,0
1683820426,25.0,23.3125,None,None,0,0
1683820427,25.0,23.25,None,None,0,0
1683820428,25.0,23.3125,None,None,0,0
1683820429,24.9375,23.3125,None,None,0,0
1683820430,24.9375,23.25,None,None,0,0
1683820431,24.875,23.25,None,None,0,0
1683820432,24.875,23.3125,None,None,0,0
1683820433,24.875,23.3125,None,None,0,0
1683820434,24.875,23.25,None,None,0,0
1683820435,24.8125,23.25,None,None,0,0
1683820436,24.875,23.3125,None,None,0,0
1683820437,24.8125,23.25,None,None,0,0
1683820438,24.875,23.3125,None,None,0,0
1683820439,24.8125,23.25,None,None,0,0
1683820440,24.8125,23.25,None,None,0,0
1683820441,24.8125,23.25,None,None,0,0
1683820442,24.75,23.25,None,None,0,0
1683820443,24.75,23.3125,None,None,0,0
1683820444,24.75,23.3125,None,None,0,0
1683820445,24.75,23.25,None,None,0,0
1683820446,24.6875,23.25,None,None,0,0
1683820448,24.75,23.3125,None,None,0,0
1683820449,24.6875,23.25,None,None,0,0
1683820450,24.75,23.25,None,None,0,0
1683820451,24.75,23.25,None,None,0,0
1683820452,24.75,23.3125,None,None,0,0
1683820453,24.75,23.3125,None,None,0,0
1683820454,24.75,23.3125,None,None,0,0
1683820455,24.75,23.3125,None,None,0,0
1683820456,24.75,23.3125,None,None,0,0
1683820457,24.75,23.3125,None,None,0,0
1683820458,24.75,23.3125,None,None,0,0
1683820459,24.75,23.3125,None,None,0,0
1683820460,24.75,23.3125,None,None,0,0
1683820461,24.75,23.25,None,None,0,0
1683820462,24.75,23.3125,None,None,0,0
1683820463,24.75,23.3125,None,None,0,0
1683820464,24.8125,23.3125,None,None,0,0
1683820465,24.75,23.3125,None,None,0,0
1683820466,24.75,23.25,None,None,0,0
1683820467,24.6875,23.25,None,None,0,0
1683820468,24.75,23.3125,None,None,0,0
1683820469,24.75,23.3125,None,None,0,0
1683820470,24.6875,23.3125,None,None,0,0
1683820471,24.75,23.3125,None,None,0,0
1683820472,24.6875,23.3125,None,None,0,0
1683820473,24.6875,23.3125,None,None,0,0
1683820474,24.6875,23.3125,None,None,0,0
1683820476,24.6875,23.3125,None,None,0,0
1683820477,24.625,23.3125,None,None,0,0
1683820478,24.625,23.3125,None,None,0,0
1683820479,24.625,23.3125,None,None,0,0
1683820480,24.6875,23.25,None,None,0,0
1683820481,24.6875,23.3125,None,None,0,0
1683820482,24.625,23.3125,None,None,0,0
1683820483,24.625,23.3125,None,None,0,0
1683820484,24.625,23.3125,None,None,0,0
1683820485,24.625,23.25,None,None,0,0
1683820486,24.625,23.3125,None,None,0,0
1683820487,24.625,23.3125,None,None,0,0
1683820488,24.625,23.3125,None,None,0,0
1683820489,24.625,23.3125,None,None,0,0
1683820490,24.625,23.3125,None,None,0,0
1683820491,24.625,23.3125,None,None,0,0
1683820492,24.625,23.3125,None,None,0,0
1683820493,24.625,23.3125,None,None,0,0
1683820494,24.625,23.3125,None,None,0,0
1683820495,24.625,23.3125,None,None,0,0
1683820496,24.625,23.3125,None,None,0,0
1683820497,24.625,23.3125,None,None,0,0
1683820498,24.625,23.3125,25.1,0.0,0,0
1683820499,24.625,23.3125,25.1,0.0,0,0
1683820500,24.625,23.3125,25.1,0.0,0,17.90761
1683820501,24.625,23.25,25.1,0.0,0,17.90761
1683820502,24.625,23.3125,25.1,0.0,0,17.86251
1683820504,24.625,23.25,25.1,0.0,0,17.86251
1683820505,24.625,23.3125,25.1,0.0,0,17.86251
1683820506,24.625,23.3125,25.1,0.0,0,17.86251
1683820507,24.625,23.3125,25.1,0.0,0,17.86251
1683820508,24.625,23.375,25.1,0.0,0,17.86251
1683820509,24.625,23.3125,25.1,0.0,0,17.86251
1683820510,24.625,23.3125,25.1,0.0,0,17.86251
1683820511,24.625,23.3125,25.1,0.0,0,17.86251
1683820512,24.625,23.3125,25.1,0.0,0,17.86251
1683820513,24.5625,23.3125,25.1,0.0,0,17.86251
1683820514,24.625,23.3125,25.1,0.0,0,20.55001
1683820515,24.625,23.3125,25.1,0.0,0,20.55001
1683820516,24.5625,23.3125,25.1,0.0,0,17.39376
1683820517,24.5625,23.25,25.1,0.0,0,17.39376
1683820518,24.5625,23.3125,25.1,0.0,0,20.55001
1683820519,24.625,23.25,25.1,0.0,0,20.55001
1683820520,24.5625,23.25,25.1,0.0,0,17.39376
1683820521,24.625,23.3125,25.1,0.0,0,17.39376
1683820522,24.625,23.3125,25.1,0.0,0,17.86251
1683820523,24.625,23.25,25.1,0.0,0,17.86251
1683820524,24.625,23.3125,25.1,0.0,0,17.86251
1683820525,24.5625,23.3125,25.1,0.0,0,17.86251
1683820526,24.625,23.3125,25.1,0.0,0,20.55001
1683820527,24.625,23.3125,25.1,0.0,0,20.55001
1683820528,24.625,23.3125,25.1,0.0,0,17.39376
1683820529,24.625,23.3125,25.1,0.0,0,17.39376
1683820530,24.625,23.3125,25.1,0.0,0,17.86251
