time,temp_in,temp_out,fan,heat,state
1682987758,23,0,0,0,0
1682987759,23,0,0,0,0
1682987760,23,0,0,0,0
1682987760,23,0,0,0,0
1682987761,23,0,0,0,0
1682987761,23,0,0,0,0
1682987834,23,0,0,0,0
1682987835,23,0,0,0,0
1682987835,23,0,0,0,0
1682987836,23,0,0,0,0
1682987836,23,0,0,0,0
1682987837,23,0,0,0,0
1682987951,23,0,0,0,0
1682987956,23,0,0,0,0
1682988131,23,0,0,0,0
1682988132,23,0,0,0,0
1682988132,23,0,0,0,0
1682988133,23,0,0,0,0
1682988133,23,0,0,0,0
1682988134,23,0,0,0,0
1682988134,23,0,0,0,0
1682988135,23,0,0,0,0
1682988135,23,0,0,0,0
1682988136,23,0,0,0,0
1682988136,23,0,0,0,0
1682988137,23,0,0,0,0
1682988137,23,0,0,0,0
1682988138,23,0,0,0,0
1682988138,23,0,0,0,0
1682988139,23,0,0,0,0
1682988139,23,0,0,0,0
1682988140,23,0,0,0,0
1682988140,23,0,0,0,0
1682988141,23,0,0,0,0
1682988141,23,0,0,0,0
1682988142,23,0,0,0,0
1682988142,23,0,0,0,0
1682988143,23,0,0,0,0
1682988143,23,0,0,0,0
