time,temp_in,temp_out,temp_target,temp_interval,fan,heat
1684159478,22.5625,21.625,None,None,0,0
1684159479,22.5,21.6875,None,None,0,0
1684159480,22.5625,21.625,None,None,0,0
1684159481,22.5625,21.625,None,None,0,0
1684159482,22.5625,21.625,None,None,0,0
1684159483,22.5625,21.625,None,None,0,0
1684159484,22.5,21.625,None,None,0,0
1684159485,22.5625,21.625,None,None,0,0
1684159486,22.5,21.625,None,None,0,0
1684159487,22.5,21.625,None,None,0,0
1684159488,22.5625,21.625,None,None,0,0
1684159489,22.5625,21.625,None,None,0,0
1684159490,22.5625,21.625,None,None,0,0
1684159491,22.5625,21.625,None,None,0,0
1684159492,22.5625,21.625,None,None,0,0
1684159493,22.5625,21.625,None,None,0,0
1684159494,22.5625,21.625,None,None,0,0
1684159496,22.5,21.6875,None,None,0,0
1684159497,22.5625,21.625,None,None,0,0
1684159498,22.5,21.625,None,None,0,0
1684159499,22.5,21.625,None,None,0,0
1684159500,22.5625,21.6875,None,None,0,0
1684159501,22.5,21.625,None,None,0,0
1684159502,22.5625,21.625,None,None,0,0
1684159503,22.5625,21.625,None,None,0,0
1684159504,22.5625,21.625,None,None,0,0
1684159505,22.5625,21.625,None,None,0,0
1684159506,22.5625,21.625,None,None,0,0
1684159507,22.5,21.6875,None,None,0,0
1684159508,22.5625,21.625,None,None,0,0
1684159509,22.5,21.625,None,None,0,0
1684159510,22.5625,21.625,None,None,0,0
1684159511,22.5,21.625,None,None,0,0
1684159512,22.5625,21.625,None,None,0,0
1684159513,22.5625,21.6875,None,None,0,0
1684159514,22.5,21.625,24.0,0.3,0,0
1684159515,22.5,21.625,24.0,0.3,0,0
1684159516,22.5625,21.6875,24.0,0.3,0,38.21053
1684159517,22.5625,21.625,24.0,0.3,0,38.21053
1684159518,22.5625,21.6875,24.0,0.3,0,35.375
1684159519,22.5625,21.625,24.0,0.3,0,35.375
1684159520,22.5625,21.625,24.0,0.3,0,35.9375
1684159521,22.5625,21.6875,24.0,0.3,0,35.9375
1684159522,22.5625,21.625,24.0,0.3,0,35.9375
1684159524,22.5625,21.625,24.0,0.3,0,35.9375
1684159525,22.5625,21.6875,24.0,0.3,0,35.9375
1684159526,22.5625,21.625,24.0,0.3,0,35.9375
1684159527,22.5625,21.625,24.0,0.3,0,35.9375
1684159528,22.5625,21.625,24.0,0.3,0,35.9375
1684159529,22.5625,21.6875,24.0,0.3,0,35.9375
1684159530,22.5625,21.6875,24.0,0.3,0,35.9375
1684159531,22.5625,21.6875,24.0,0.3,0,35.9375
1684159532,22.5625,21.6875,24.0,0.3,0,35.9375
1684159533,22.5625,21.6875,24.0,0.3,0,35.9375
1684159534,22.5625,21.625,24.0,0.3,0,35.9375
1684159535,22.5625,21.6875,24.0,0.3,0,35.9375
1684159536,22.5625,21.6875,24.0,0.3,0,35.9375
1684159537,22.5625,21.625,24.0,0.3,0,35.9375
1684159538,22.625,21.625,24.0,0.3,0,35.9375
1684159539,22.5625,21.625,24.0,0.3,0,35.9375
1684159540,22.5625,21.6875,24.0,0.3,0,35.9375
1684159541,22.5625,21.625,24.0,0.3,0,35.9375
1684159542,22.5625,21.6875,24.0,0.3,0,35.9375
1684159543,22.5625,21.625,24.0,0.3,0,35.9375
1684159544,22.5625,21.625,24.0,0.3,0,35.9375
1684159545,22.5625,21.625,24.0,0.3,0,35.9375
1684159546,22.5625,21.6875,24.0,0.3,0,35.9375
1684159547,22.5625,21.6875,24.0,0.3,0,35.9375
1684159548,22.5625,21.625,24.0,0.3,0,35.9375
1684159549,22.5625,21.625,24.0,0.3,0,35.9375
1684159550,22.5625,21.6875,24.0,0.3,0,35.9375
1684159552,22.5625,21.6875,24.0,0.3,0,35.9375
1684159553,22.5625,21.625,24.0,0.3,0,35.9375
1684159554,22.5625,21.6875,24.0,0.3,0,35.9375
1684159555,22.5625,21.6875,24.0,0.3,0,35.9375
1684159556,22.5625,21.6875,24.0,0.3,0,35.9375
1684159557,22.5625,21.6875,24.0,0.3,0,35.9375
1684159558,22.5625,21.6875,24.0,0.3,0,35.9375
1684159559,22.5625,21.625,24.0,0.3,0,35.9375
1684159560,22.5625,21.6875,24.0,0.3,0,35.9375
1684159561,22.5625,21.625,24.0,0.3,0,35.9375
1684159562,22.5625,21.625,24.0,0.3,0,35.9375
1684159563,22.5625,21.6875,24.0,0.3,0,35.9375
1684159564,22.5625,21.625,24.0,0.3,0,35.9375
1684159565,22.5625,21.625,24.0,0.3,0,35.9375
1684159566,22.5625,21.6875,24.0,0.3,0,35.9375
1684159567,22.5625,21.625,24.0,0.3,0,35.9375
1684159568,22.625,21.6875,24.0,0.3,0,35.9375
1684159569,22.5625,21.6875,24.0,0.3,0,35.9375
1684159570,22.625,21.6875,24.0,0.3,0,35.9375
1684159571,22.625,21.625,24.0,0.3,0,35.9375
1684159572,22.5625,21.625,24.0,0.3,0,33.8125
1684159573,22.625,21.6875,24.0,0.3,0,33.8125
1684159574,22.5625,21.625,24.0,0.3,0,34.375
1684159575,22.5625,21.6875,24.0,0.3,0,34.375
1684159576,22.625,21.625,24.0,0.3,0,36.5
1684159577,22.625,21.6875,24.0,0.3,0,36.5
1684159578,22.625,21.6875,24.0,0.3,0,33.8125
1684159580,22.625,21.6875,24.0,0.3,0,33.8125
1684159581,22.625,21.6875,24.0,0.3,0,34.375
1684159582,22.625,21.6875,24.0,0.3,0,34.375
1684159583,22.625,21.6875,24.0,0.3,0,34.375
1684159584,22.625,21.6875,24.0,0.3,0,34.375
1684159585,22.625,21.6875,24.0,0.3,0,34.375
1684159586,22.625,21.6875,24.0,0.3,0,34.375
1684159587,22.625,21.6875,24.0,0.3,0,34.375
1684159588,22.625,21.6875,24.0,0.3,0,34.375
1684159589,22.625,21.6875,24.0,0.3,0,34.375
1684159590,22.625,21.6875,24.0,0.3,0,34.375
1684159591,22.6875,21.6875,24.0,0.3,0,34.375
1684159592,22.625,21.6875,24.0,0.3,0,34.375
1684159593,22.625,21.6875,24.0,0.3,0,34.375
1684159594,22.6875,21.6875,24.0,0.3,0,34.375
1684159595,22.6875,21.6875,24.0,0.3,0,34.375
1684159596,22.6875,21.6875,24.0,0.3,0,32.25
1684159597,22.6875,21.6875,24.0,0.3,0,32.25
1684159598,22.6875,21.6875,24.0,0.3,0,32.8125
1684159599,22.6875,21.6875,24.0,0.3,0,32.8125
1684159600,22.6875,21.6875,24.0,0.3,0,32.8125
1684159601,22.6875,21.6875,24.0,0.3,0,32.8125
1684159602,22.6875,21.6875,24.0,0.3,0,32.8125
1684159603,22.6875,21.6875,24.0,0.3,0,32.8125
1684159604,22.6875,21.6875,24.0,0.3,0,32.8125
1684159605,22.6875,21.6875,24.0,0.3,0,32.8125
1684159606,22.6875,21.6875,24.0,0.3,0,32.8125
1684159608,22.75,21.6875,24.0,0.3,0,32.8125
