time,temp_in,temp_out,temp_target,temp_interval,fan,heat
1683742351,27.125,24.25,None,None,0,0
1683742352,26.3125,24.25,None,None,0,0
1683742353,26.3125,24.3125,None,None,0,0
1683742354,26.3125,24.3125,None,None,0,0
1683742355,26.375,24.3125,None,None,0,0
1683742356,26.375,24.3125,None,None,0,0
1683742357,26.3125,24.3125,None,None,0,0
1683742358,26.375,24.3125,None,None,0,0
1683742360,26.3125,24.3125,None,None,0,0
1683742361,26.3125,24.3125,None,None,0,0
1683742362,26.3125,24.3125,None,None,0,0
1683742363,26.3125,24.3125,None,None,0,0
1683742364,26.375,24.3125,None,None,0,0
1683742365,26.3125,24.3125,None,None,0,0
1683742366,26.3125,24.3125,None,None,0,0
1683742367,26.375,24.3125,None,None,0,0
1683742368,26.25,24.3125,None,None,0,0
1683742369,26.375,24.3125,None,None,0,0
1683742370,26.3125,24.3125,None,None,0,0
1683742371,26.3125,24.3125,None,None,0,0
1683742372,26.3125,24.3125,None,None,0,0
1683742373,26.3125,24.3125,None,None,0,0
1683742374,26.3125,24.3125,None,None,0,0
1683742375,26.25,24.3125,None,None,0,0
1683742376,26.3125,24.3125,None,None,0,0
1683742377,26.3125,24.3125,None,None,0,0
1683742378,26.25,24.3125,None,None,0,0
1683742379,26.3125,24.3125,None,None,0,0
1683742380,26.3125,24.3125,None,None,0,0
1683742381,26.3125,24.375,None,None,0,0
1683742382,26.25,24.3125,None,None,0,0
1683742383,26.25,24.375,None,None,0,0
1683742384,26.3125,24.3125,None,None,0,0
1683742385,26.3125,24.3125,None,None,0,0
1683742386,26.25,24.3125,None,None,0,0
1683742388,26.25,24.3125,None,None,0,0
1683742389,26.25,24.3125,None,None,0,0
1683742390,26.25,24.3125,None,None,0,0
1683742391,26.1875,24.3125,None,None,0,0
1683742392,26.25,24.3125,None,None,0,0
1683742393,26.25,24.3125,None,None,0,0
1683742394,26.25,24.3125,None,None,0,0
1683742395,26.25,24.3125,None,None,0,0
1683742396,26.25,24.3125,None,None,0,0
1683742397,26.25,24.3125,None,None,0,0
1683742398,26.3125,24.3125,None,None,0,0
1683742399,26.25,24.3125,None,None,0,0
1683742400,26.3125,24.3125,None,None,0,0
1683742401,26.3125,24.3125,None,None,0,0
1683742402,26.25,24.3125,None,None,0,0
1683742403,26.25,24.375,25.0,0.0,0,0
1683742404,26.1875,24.3125,25.0,0.0,75.0,0
1683742405,26.25,24.3125,25.0,0.0,75.0,0
1683742406,26.3125,24.3125,25.0,0.0,75.0,0
1683742407,26.3125,24.3125,25.0,0.0,78.75,0
1683742408,26.25,24.3125,25.0,0.0,78.75,0
1683742409,26.25,24.3125,25.0,0.0,75.0,0
1683742410,26.3125,24.3125,25.0,0.0,75.0,0
1683742411,26.3125,24.3125,25.0,0.0,78.75,0
1683742412,26.3125,24.3125,25.0,0.0,78.75,0
1683742414,26.1875,24.3125,25.0,0.0,78.75,0
1683742415,26.3125,24.375,25.0,0.0,78.75,0
1683742416,26.25,24.3125,25.0,0.0,78.75,0
1683742417,26.25,24.375,25.0,0.0,78.75,0
1683742418,26.1875,24.375,25.0,0.0,75.0,0
1683742419,26.25,24.3125,25.0,0.0,75.0,0
1683742420,26.1875,24.375,25.0,0.0,75.0,0
1683742421,26.25,24.3125,25.0,0.0,75.0,0
1683742422,26.1875,24.375,25.0,0.0,75.0,0
1683742423,26.25,24.3125,25.0,0.0,75.0,0
1683742424,26.1875,24.3125,25.0,0.0,75.0,0
1683742425,26.1875,24.3125,25.0,0.0,75.0,0
1683742426,26.1875,24.3125,25.0,0.0,71.25,0
