time,temp_in,temp_out,fan,heat,state
1682988290,23,0,0,0,0
1682988290,23,0,0,0,0
1682988291,23,0,0,0,0
1682988291,23,0,0,0,0
1682988292,23,0,0,0,0
1682988292,23,0,0,0,0
1682988293,23,0,0,0,0
1682988293,23,0,0,0,0
1682988294,23,0,0,0,0
1682988294,23,0,0,0,0
1682988295,23,0,0,0,0
1682988295,23,0,0,0,0
1682988296,23,0,0,0,0
1682988296,23,0,0,0,0
1682988297,23,0,0,0,0
1682988297,23,0,0,0,0
1682988298,23,0,0,0,0
1682988298,23,0,0,0,0
1682988299,23,0,0,0,0
1682988299,23,0,0,0,0
1682988300,23,0,0,0,0
1682988300,23,0,0,0,0
1682988301,23,0,0,0,0
1682988301,23,0,0,0,0
1682988302,23,0,0,0,0
1682988302,23,0,0,0,0
1682988303,23,0,0,0,0
1682988303,23,0,0,0,0
1682988304,23,0,0,0,0
1682988304,23,0,0,0,0
1682988305,23,0,0,0,0
1682988305,23,0,0,0,0
1682988306,23,0,0,0,0
1682988306,23,0,0,0,0
1682988307,23,0,0,0,0
1682988307,23,0,0,0,0
1682988308,23,0,0,0,0
1682988308,23,0,0,0,0
1682988309,23,0,0,0,0
1682988309,23,0,0,0,0
1682988310,23,0,0,0,0
1682988310,23,0,0,0,0
1682988424,23,0,0,0,0
