time,temp_in,temp_out,fan,heat,state
1682894881,24.1875,0,0,0,0
1682894882,24.1875,0,0,0,0
1682894883,24.1875,0,0,0,0
1682894884,24.1875,0,0,0,0
1682894885,24.1875,0,0,0,0
1682894886,24.1875,0,0,0,0
1682894887,24.1875,0,0,0,0
1682894888,24.1875,0,0,0,0
1682894889,24.1875,0,0,0,0
1682894890,24.1875,0,0,0,0
1682894891,24.125,0,0,0,0
1682894892,24.1875,0,0,0,0
1682894893,24.125,0,0,0,0
1682894894,24.125,0,0,0,0
1682894895,24.125,0,0,0,0
1682894896,24.125,0,0,0,0
1682894898,24.125,0,0,0,0
1682894899,24.125,0,0,0,0
1682894900,24.125,0,0,0,0
1682894901,24.1875,0,0,0,0
