time,temp_in,temp_out,temp_target,temp_interval,fan,heat
1683739549,24.25,24.125,None,None,0,0
1683739550,24.1875,24.125,None,None,0,0
1683739551,24.1875,24.125,None,None,0,0
1683739552,24.125,24.125,None,None,0,0
1683739553,24.1875,24.125,None,None,0,0
1683739554,24.25,24.125,None,None,0,0
1683739555,24.1875,24.125,None,None,0,0
1683739556,24.25,24.125,None,None,0,0
1683739557,24.1875,24.125,None,None,0,0
1683739559,24.25,24.125,None,None,0,0
1683739560,24.25,24.125,None,None,0,0
1683739561,24.1875,24.125,None,None,0,0
1683739562,24.25,24.125,None,None,0,0
1683739563,24.25,24.125,None,None,0,0
1683739564,24.1875,24.125,None,None,0,0
1683739565,24.25,24.125,None,None,0,0
1683739566,24.1875,24.125,None,None,0,0
1683739567,24.1875,24.1875,None,None,0,0
1683739568,24.1875,24.125,None,None,0,0
1683739569,24.1875,24.125,None,None,0,0
1683739570,24.25,24.125,None,None,0,0
1683739571,24.1875,24.1875,None,None,0,0
1683739572,24.1875,24.125,None,None,0,0
1683739573,24.1875,24.125,None,None,0,0
1683739574,24.1875,24.125,None,None,0,0
1683739575,24.1875,24.1875,None,None,0,0
1683739576,24.1875,24.125,None,None,0,0
1683739577,24.25,24.1875,None,None,0,0
1683739578,24.1875,24.1875,None,None,0,0
1683739579,24.25,24.1875,None,None,0,0
1683739580,24.25,24.1875,None,None,0,0
1683739581,24.1875,24.125,None,None,0,0
1683739582,24.25,24.1875,None,None,0,0
1683739583,24.1875,24.1875,None,None,0,0
1683739584,24.25,24.1875,None,None,0,0
1683739585,24.1875,24.125,None,None,0,0
1683739586,24.1875,24.1875,None,None,0,0
1683739588,24.25,24.1875,None,None,0,0
1683739589,24.1875,24.1875,None,None,0,0
1683739590,24.1875,24.1875,30.0,0.0,0,0
1683739591,24.1875,24.1875,30.0,0.0,0,0
1683739592,24.25,24.1875,30.0,0.0,0,0
1683739593,24.1875,24.1875,30.0,0.0,0,0
1683739594,24.25,24.1875,30.0,0.0,0,0
1683739595,24.1875,24.1875,30.0,0.0,0,0
1683739596,24.25,24.1875,30.0,0.0,0,0
1683739597,24.25,24.125,30.0,0.0,0,0
1683739598,24.25,24.1875,30.0,0.0,0,0
1683739599,24.25,24.1875,30.0,0.0,0,0
1683739600,24.25,24.1875,30.0,0.0,0,0
1683739601,24.25,24.1875,30.0,0.0,0,0
