time,temp_in,temp_out,fan,heat,state
1682984965,24.0625,0,0,0,0
1682984966,24.0625,0,0,0,0
1682984967,24.0625,0,0,0,0
1682984968,24.0625,0,0,0,0
1682984969,24.0625,0,0,0,0
1682984970,24.0625,0,0,0,0
1682984971,24.0625,0,0,0,0
1682984972,24.0625,0,0,0,0
1682984973,24.0625,0,0,0,0
1682984974,24.0625,0,0,0,0
1682984975,24.0625,0,0,0,0
1682984976,24.0625,0,0,0,0
1682984977,24.0625,0,0,0,0
1682984978,24.0625,0,0,0,0
1682984980,24.0625,0,0,0,0
1682984981,24.0625,0,0,0,0
1682984982,24.0625,0,0,0,0
1682984983,24.0625,0,0,0,0
1682984984,24.0625,0,0,0,0
1682984985,24.125,0,0,0,0
1682984986,24.0625,0,0,0,0
1682984987,24.0625,0,0,0,0
1682984988,24.0625,0,0,0,0
1682984989,24.0625,0,0,0,0
1682984990,24.0625,0,0,0,0
1682984991,24.0,0,0,0,0
1682984992,24.0625,0,0,0,0
1682984993,24.0625,0,0,0,0
1682984994,24.125,0,0,0,0
1682984995,24.0625,0,0,0,0
1682984996,24.0625,0,0,0,0
1682984997,24.0625,0,0,0,0
1682984998,24.0625,0,0,0,0
1682984999,24.0625,0,0,0,0
1682985000,24.0625,0,0,0,0
1682985001,24.0625,0,0,0,0
1682985002,24.0625,0,0,0,0
1682985003,24.0625,0,0,0,0
1682985004,24.125,0,0,0,0
1682985005,24.125,0,0,0,0
1682985006,24.125,0,0,0,0
1682985007,24.0625,0,0,0,0
1682985008,24.125,0,0,0,0
1682985009,24.125,0,0,0,0
1682985010,24.125,0,0,0,0
1682985011,24.0625,0,0,0,0
1682985012,24.125,0,0,0,0
1682985013,24.0625,0,0,0,0
1682985014,24.125,0,0,0,0
1682985015,24.125,0,0,0,0
1682985016,24.0625,0,0,0,0
1682985017,24.0625,0,0,0,0
1682985018,24.125,0,0,0,0
1682985019,24.125,0,0,0,0
1682985020,24.125,0,0,0,0
1682985021,24.125,0,0,0,0
1682985022,24.0625,0,0,0,0
1682985023,24.0625,0,0,0,0
