time,temp_in,temp_out,fan,heat,state
<module 'utime'>,24.125,0,0,0,0
<module 'utime'>,24.125,0,0,0,0
<module 'utime'>,24.125,0,0,0,0
<module 'utime'>,24.125,0,0,0,0
<module 'utime'>,24.1875,0,0,0,0
<module 'utime'>,24.125,0,0,0,0
<module 'utime'>,24.0625,0,0,0,0
<module 'utime'>,24.125,0,0,0,0
<module 'utime'>,24.125,0,0,0,0
<module 'utime'>,24.125,0,0,0,0
<module 'utime'>,24.125,0,0,0,0
<module 'utime'>,24.125,0,0,0,0
<module 'utime'>,24.0625,0,0,0,0
<module 'utime'>,24.125,0,0,0,0
<module 'utime'>,24.125,0,0,0,0
<module 'utime'>,24.125,0,0,0,0
<module 'utime'>,24.0625,0,0,0,0
<module 'utime'>,24.0625,0,0,0,0
<module 'utime'>,24.0625,0,0,0,0
<module 'utime'>,24.0625,0,0,0,0
<module 'utime'>,24.0625,0,0,0,0
<module 'utime'>,24.0625,0,0,0,0
<module 'utime'>,24.125,0,0,0,0
<module 'utime'>,24.0625,0,0,0,0
<module 'utime'>,24.0625,0,0,0,0
<module 'utime'>,24.0625,0,0,0,0
<module 'utime'>,24.125,0,0,0,0
<module 'utime'>,24.0625,0,0,0,0
<module 'utime'>,24.0625,0,0,0,0
<module 'utime'>,24.125,0,0,0,0
<module 'utime'>,24.125,0,0,0,0
<module 'utime'>,24.0625,0,0,0,0
<module 'utime'>,24.0625,0,0,0,0
<module 'utime'>,24.0625,0,0,0,0
<module 'utime'>,24.0625,0,0,0,0
<module 'utime'>,24.0625,0,0,0,0
<module 'utime'>,24.0625,0,0,0,0
<module 'utime'>,24.0625,0,0,0,0
<module 'utime'>,24.125,0,0,0,0
<module 'utime'>,24.0625,0,0,0,0
<module 'utime'>,24.0625,0,0,0,0
<module 'utime'>,24.0625,0,0,0,0
<module 'utime'>,24.125,0,0,0,0
<module 'utime'>,24.0625,0,0,0,0
<module 'utime'>,24.125,0,0,0,0
<module 'utime'>,24.0625,0,0,0,0
<module 'utime'>,24.0625,0,0,0,0
<module 'utime'>,24.0625,0,0,0,0
<module 'utime'>,24.0625,0,0,0,0
<module 'utime'>,24.0625,0,0,0,0
<module 'utime'>,24.0625,0,0,0,0
<module 'utime'>,24.0625,0,0,0,0
<module 'utime'>,24.0625,0,0,0,0
<module 'utime'>,24.0625,0,0,0,0
<module 'utime'>,24.0625,0,0,0,0
<module 'utime'>,24.0625,0,0,0,0
<module 'utime'>,24.0625,0,0,0,0
<module 'utime'>,24.0625,0,0,0,0
<module 'utime'>,24.0625,0,0,0,0
<module 'utime'>,24.0625,0,0,0,0
<module 'utime'>,24.0625,0,0,0,0
<module 'utime'>,24.0625,0,0,0,0
<module 'utime'>,24.0625,0,0,0,0
<module 'utime'>,24.0625,0,0,0,0
<module 'utime'>,24.0625,0,0,0,0
<module 'utime'>,24.0625,0,0,0,0
<module 'utime'>,24.0625,0,0,0,0
<module 'utime'>,24.0625,0,0,0,0
<module 'utime'>,24.0625,0,0,0,0
<module 'utime'>,24.0625,0,0,0,0
<module 'utime'>,24.125,0,0,0,0
<module 'utime'>,24.0625,0,0,0,0
<module 'utime'>,24.0625,0,0,0,0
<module 'utime'>,24.0625,0,0,0,0
<module 'utime'>,24.0625,0,0,0,0
<module 'utime'>,24.0625,0,0,0,0
<module 'utime'>,24.0625,0,0,0,0
<module 'utime'>,24.0625,0,0,0,0
