time,temp_in,temp_out,fan,heat,state
1683065337,23,0,0,0,0
1683065337,23,0,0,0,0
1683065338,23,0,0,0,0
1683065338,23,0,0,0,0
1683065339,23,0,0,0,0
1683065339,23,0,0,0,0
1683065340,23,0,0,0,0
1683065340,23,0,0,0,0
1683065341,23,0,0,0,0
1683065341,23,0,0,0,0
1683065342,23,0,0,0,0
1683065342,23,0,0,0,0
1683065343,23,0,0,0,0
1683065343,23,0,0,0,0
1683065344,23,0,0,0,0
1683065344,23,0,0,0,0
1683065345,23,0,0,0,0
1683065345,23,0,0,0,0
1683065346,23,0,0,0,0
1683065346,23,0,0,0,0
1683065347,23,0,0,0,0
1683065347,23,0,0,0,0
1683065348,23,0,0,0,0
1683065348,23,0,0,0,0
1683065349,23,0,0,0,0
1683065349,23,0,0,0,0
1683065350,23,0,0,0,0
1683065350,23,0,0,0,0
1683065351,23,0,0,0,0
1683065351,23,0,0,0,0
1683065352,23,0,0,0,0
1683065352,23,0,0,0,0
1683065353,23,0,0,0,0
1683065353,23,0,0,0,0
1683065354,23,0,0,0,0
1683065354,23,0,0,0,0
1683065355,23,0,0,0,0
1683065355,23,0,0,0,0
1683065356,23,0,0,0,0
1683065356,23,0,0,0,0
1683065357,23,0,0,0,0
1683065357,23,0,0,0,0
1683065358,23,0,0,0,0
1683065358,23,0,0,0,0
1683065359,23,0,0,0,0
1683065359,23,0,0,0,0
1683065360,23,0,0,0,0
1683065360,23,0,0,0,0
1683065361,23,0,0,0,0
1683065361,23,0,0,0,0
1683065362,23,0,0,0,0
1683065362,23,0,0,0,0
1683065363,23,0,0,0,0
1683065363,23,0,0,0,0
1683065364,23,0,0,0,0
1683065364,23,0,0,0,0
1683065365,23,0,0,0,0
1683065365,23,0,0,0,0
1683065366,23,0,0,0,0
1683065366,23,0,0,0,0
1683065367,23,0,0,0,0
1683065367,23,0,0,0,0
1683065368,23,0,0,0,0
1683065368,23,0,0,0,0
1683065369,23,0,0,0,0
1683065369,23,0,0,0,0
1683065370,23,0,0,0,0
1683065370,23,0,0,0,0
1683065371,23,0,0,0,0
1683065371,23,0,0,0,0
1683065373,23,0,0,0,0
1683065373,23,0,0,0,0
1683065374,23,0,0,0,0
1683065374,23,0,0,0,0
1683065375,23,0,0,0,0
1683065375,23,0,0,0,0
1683065376,23,0,0,0,0
1683065376,23,0,0,0,0
1683065377,23,0,0,0,0
1683065377,23,0,0,0,0
1683065379,23,0,0,0,0
1683065379,23,0,0,0,0
1683065380,23,0,0,0,0
1683065380,23,0,0,0,0
1683065381,23,0,0,0,0
1683065381,23,0,0,0,0
1683065382,23,0,0,0,0
1683065382,23,0,0,0,0
1683065383,23,0,0,0,0
1683065383,23,0,0,0,0
1683065385,23,0,0,0,0
1683065385,23,0,0,0,0
1683065386,23,0,0,0,0
1683065386,23,0,0,0,0
1683065387,23,0,0,0,0
1683065387,23,0,0,0,0
1683065388,23,0,0,0,0
1683065388,23,0,0,0,0
1683065389,23,0,0,0,0
1683065389,23,0,0,0,0
1683065391,23,0,0,0,0
1683065391,23,0,0,0,0
1683065392,23,0,0,0,0
1683065392,23,0,0,0,0
1683065393,23,0,0,0,0
1683065393,23,0,0,0,0
1683065394,23,0,0,0,0
1683065394,23,0,0,0,0
1683065395,23,0,0,0,0
1683065395,23,0,0,0,0
1683065396,23,0,0,0,0
1683065396,23,0,0,0,0
1683065397,23,0,0,0,0
1683065397,23,0,0,0,0
1683065398,23,0,0,0,0
1683065398,23,0,0,0,0
1683065399,23,0,0,0,0
1683065399,23,0,0,0,0
1683065400,23,0,0,0,0
1683065400,23,0,0,0,0
1683065401,23,0,0,0,0
1683065401,23,0,0,0,0
1683065402,23,0,0,0,0
1683065402,23,0,0,0,0
1683065403,23,0,0,0,0
1683065403,23,0,0,0,0
1683065404,23,0,0,0,0
1683065404,23,0,0,0,0
1683065405,23,0,0,0,0
1683065405,23,0,0,0,0
1683065406,23,0,0,0,0
1683065406,23,0,0,0,0
1683065407,23,0,0,0,0
1683065407,23,0,0,0,0
1683065408,23,0,0,0,0
1683065408,23,0,0,0,0
1683065409,23,0,0,0,0
1683065409,23,0,0,0,0
1683065410,23,0,0,0,0
1683065410,23,0,0,0,0
1683065411,23,0,0,0,0
1683065411,23,0,0,0,0
1683065412,23,0,0,0,0
1683065412,23,0,0,0,0
1683065413,23,0,0,0,0
1683065413,23,0,0,0,0
1683065414,23,0,0,0,0
1683065414,23,0,0,0,0
1683065415,23,0,0,0,0
1683065415,23,0,0,0,0
1683065416,23,0,0,0,0
1683065416,23,0,0,0,0
1683065417,23,0,0,0,0
1683065417,23,0,0,0,0
1683065418,23,0,0,0,0
1683065418,23,0,0,0,0
1683065419,23,0,0,0,0
1683065419,23,0,0,0,0
1683065420,23,0,0,0,0
1683065420,23,0,0,0,0
1683065421,23,0,0,0,0
1683065421,23,0,0,0,0
1683065422,23,0,0,0,0
1683065422,23,0,0,0,0
1683065423,23,0,0,0,0
1683065423,23,0,0,0,0
1683065424,23,0,0,0,0
1683065424,23,0,0,0,0
1683065425,23,0,0,0,0
1683065425,23,0,0,0,0
1683065426,23,0,0,0,0
1683065426,23,0,0,0,0
1683065427,23,0,0,0,0
1683065427,23,0,0,0,0
1683065428,23,0,0,0,0
1683065428,23,0,0,0,0
1683065429,23,0,0,0,0
1683065429,23,0,0,0,0
1683065430,23,0,0,0,0
1683065430,23,0,0,0,0
1683065431,23,0,0,0,0
1683065431,23,0,0,0,0
1683065432,23,0,0,0,0
1683065432,23,0,0,0,0
1683065433,23,0,0,0,0
1683065433,23,0,0,0,0
1683065434,23,0,0,0,0
1683065434,23,0,0,0,0
1683065435,23,0,0,0,0
1683065435,23,0,0,0,0
1683065436,23,0,0,0,0
1683065436,23,0,0,0,0
1683065437,23,0,0,0,0
1683065437,23,0,0,0,0
1683065438,23,0,0,0,0
1683065438,23,0,0,0,0
1683065439,23,0,0,0,0
1683065439,23,0,0,0,0
1683065440,23,0,0,0,0
1683065440,23,0,0,0,0
1683065441,23,0,0,0,0
1683065441,23,0,0,0,0
1683065442,23,0,0,0,0
1683065442,23,0,0,0,0
1683065443,23,0,0,0,0
1683065443,23,0,0,0,0
1683065444,23,0,0,0,0
1683065444,23,0,0,0,0
1683065445,23,0,0,0,0
1683065445,23,0,0,0,0
1683065446,23,0,0,0,0
1683065446,23,0,0,0,0
1683065447,23,0,0,0,0
1683065447,23,0,0,0,0
1683065448,23,0,0,0,0
1683065448,23,0,0,0,0
1683065449,23,0,0,0,0
1683065449,23,0,0,0,0
1683065450,23,0,0,0,0
1683065450,23,0,0,0,0
1683065451,23,0,0,0,0
1683065451,23,0,0,0,0
1683065452,23,0,0,0,0
1683065452,23,0,0,0,0
1683065453,23,0,0,0,0
1683065453,23,0,0,0,0
1683065454,23,0,0,0,0
1683065454,23,0,0,0,0
1683065455,23,0,0,0,0
1683065455,23,0,0,0,0
1683065456,23,0,0,0,0
1683065456,23,0,0,0,0
1683065457,23,0,0,0,0
1683065457,23,0,0,0,0
1683065458,23,0,0,0,0
