time,temp_in,temp_out,fan,heat,state
1682894197,24.0625,0,0,0,0
1682894198,24.0625,0,0,0,0
1682894199,24.0625,0,0,0,0
1682894200,24.0,0,0,0,0
1682894201,24.0625,0,0,0,0
1682894202,24.0625,0,0,0,0
1682894203,24.0625,0,0,0,0
1682894204,24.0625,0,0,0,0
1682894205,24.0625,0,0,0,0
1682894206,24.0,0,0,0,0
1682894207,24.0625,0,0,0,0
1682894209,24.0625,0,0,0,0
1682894210,24.0625,0,0,0,0
1682894211,24.0625,0,0,0,0
1682894212,24.0625,0,0,0,0
1682894213,24.0625,0,0,0,0
1682894214,24.0625,0,0,0,0
1682894215,24.0625,0,0,0,0
1682894216,24.0625,0,0,0,0
1682894217,24.0625,0,0,0,0
1682894218,24.0625,0,0,0,0
1682894219,24.0625,0,0,0,0
1682894220,24.0625,0,0,0,0
1682894221,24.0625,0,0,0,0
1682894222,24.0625,0,0,0,0
1682894223,24.0625,0,0,0,0
1682894224,24.0625,0,0,0,0
1682894225,24.0625,0,0,0,0
1682894226,24.0625,0,0,0,0
1682894227,24.0625,0,0,0,0
1682894228,24.0625,0,0,0,0
1682894229,24.0625,0,0,0,0
1682894230,24.0625,0,0,0,0
1682894231,24.0625,0,0,0,0
1682894232,24.0625,0,0,0,0
1682894233,24.0625,0,0,0,0
1682894234,24.0625,0,0,0,0
1682894235,24.125,0,0,0,0
1682894236,24.0625,0,0,0,0
1682894237,24.0625,0,0,0,0
1682894238,24.0625,0,0,0,0
1682894239,24.0625,0,0,0,0
1682894240,24.0625,0,0,0,0
1682894241,24.0625,0,0,0,0
1682894242,24.0625,0,0,0,0
1682894243,24.0625,0,0,0,0
1682894244,24.0625,0,0,0,0
1682894245,24.0625,0,0,0,0
1682894246,24.0625,0,0,0,0
1682894247,24.0625,0,0,0,0
1682894248,24.125,0,0,0,0
1682894249,24.0625,0,0,0,0
1682894250,24.0625,0,0,0,0
1682894251,24.0625,0,0,0,0
1682894252,24.0625,0,0,0,0
1682894253,24.0625,0,0,0,0
1682894254,24.3125,0,0,0,0
1682894255,24.875,0,0,0,0
1682894256,25.4375,0,0,0,0
1682894257,26.0,0,0,0,0
1682894258,26.5,0,0,0,0
1682894259,26.875,0,0,0,0
1682894260,27.3125,0,0,0,0
1682894261,27.625,0,0,0,0
1682894262,28.0,0,0,0,0
1682894263,28.3125,0,0,0,0
1682894264,28.6875,0,0,0,0
1682894265,28.9375,0,0,0,0
1682894266,29.1875,0,0,0,0
1682894268,29.375,0,0,0,0
1682894269,29.5625,0,0,0,0
1682894270,29.8125,0,0,0,0
1682894271,30.0,0,0,0,0
1682894272,30.1875,0,0,0,0
1682894273,30.375,0,0,0,0
1682894274,30.5625,0,0,0,0
1682894275,30.625,0,0,0,0
1682894276,30.8125,0,0,0,0
1682894277,30.9375,0,0,0,0
1682894278,31.0625,0,0,0,0
1682894279,31.125,0,0,0,0
1682894280,31.1875,0,0,0,0
1682894281,31.3125,0,0,0,0
1682894282,31.375,0,0,0,0
1682894283,31.4375,0,0,0,0
1682894284,31.5,0,0,0,0
1682894285,31.5625,0,0,0,0
1682894286,31.625,0,0,0,0
1682894287,31.625,0,0,0,0
1682894288,31.625,0,0,0,0
1682894289,31.5625,0,0,0,0
1682894290,31.5625,0,0,0,0
1682894291,31.5625,0,0,0,0
1682894292,31.5,0,0,0,0
1682894293,31.4375,0,0,0,0
1682894294,31.4375,0,0,0,0
1682894295,31.3125,0,0,0,0
1682894296,31.3125,0,0,0,0
1682894297,31.3125,0,0,0,0
1682894298,31.25,0,0,0,0
1682894299,31.1875,0,0,0,0
1682894300,31.125,0,0,0,0
1682894301,31.125,0,0,0,0
1682894302,31.0625,0,0,0,0
