time,temp_in,temp_out,temp_target,temp_interval,fan,heat
1683742530,26.1875,24.3125,None,None,0,0
1683742532,25.625,24.3125,None,None,0,0
1683742534,25.6875,24.3125,None,None,0,0
1683742536,25.6875,24.3125,None,None,0,0
1683742538,25.6875,24.3125,None,None,0,0
1683742540,25.75,24.3125,None,None,0,0
1683742542,25.6875,24.3125,None,None,0,0
1683742544,25.6875,24.3125,None,None,0,0
1683742546,25.6875,24.3125,None,None,0,0
1683742548,25.6875,24.3125,None,None,0,0
1683742550,25.75,24.3125,None,None,0,0
1683742551,25.625,24.3125,None,None,0,0
1683742552,25.625,24.3125,None,None,0,0
1683742553,25.625,24.3125,None,None,0,0
1683742554,25.625,24.3125,None,None,0,0
1683742555,25.6875,24.3125,None,None,0,0
1683742556,25.6875,24.3125,None,None,0,0
1683742557,25.625,24.3125,None,None,0,0
1683742558,25.625,24.3125,None,None,0,0
1683742560,25.625,24.3125,None,None,0,0
1683742561,25.6875,24.3125,None,None,0,0
1683742562,25.625,24.3125,None,None,0,0
1683742563,25.6875,24.3125,25.0,0.0,0,0
1683742564,25.6875,24.3125,25.0,0.0,0,0
1683742565,25.6875,24.375,25.0,0.0,41.25,0
1683742566,25.6875,24.3125,25.0,0.0,41.25,0
1683742567,25.6875,24.3125,25.0,0.0,41.25,0
1683742568,25.6875,24.3125,25.0,0.0,41.25,0
1683742569,25.625,24.3125,25.0,0.0,41.25,0
1683742570,25.6875,24.3125,25.0,0.0,41.25,0
1683742571,25.625,24.3125,25.0,0.0,41.25,0
1683742572,25.6875,24.3125,25.0,0.0,41.25,0
1683742573,25.6875,24.3125,25.0,0.0,41.25,0
1683742574,25.6875,24.3125,25.0,0.0,41.25,0
1683742575,25.625,24.3125,25.0,0.0,41.25,0
1683742576,25.625,24.3125,25.0,0.0,37.5,0
1683742577,25.6875,24.25,25.0,0.0,37.5,0
1683742578,25.6875,24.3125,25.0,0.0,41.25,0
1683742579,25.6875,24.3125,25.0,0.0,41.25,0
1683742580,25.6875,24.3125,25.0,0.0,41.25,0
1683742582,25.6875,24.3125,25.0,0.0,41.25,0
1683742583,25.6875,24.3125,25.0,0.0,41.25,0
1683742584,25.625,24.3125,25.0,0.0,41.25,0
1683742585,25.625,24.3125,25.0,0.0,37.5,0
1683742586,25.625,24.3125,25.0,0.0,37.5,0
1683742587,25.625,24.3125,25.0,0.0,37.5,0
1683742588,25.625,24.3125,25.0,0.0,37.5,0
1683742589,25.625,24.3125,25.0,0.0,37.5,0
1683742590,25.6875,24.3125,25.0,0.0,37.5,0
1683742591,25.625,24.25,25.0,0.0,41.25,0
1683742592,25.625,24.3125,25.0,0.0,41.25,0
1683742593,25.625,24.3125,25.0,0.0,37.5,0
1683742594,25.5625,24.3125,25.0,0.0,37.5,0
1683742595,25.5625,24.3125,25.0,0.0,33.75,0
1683742596,25.625,24.3125,25.0,0.0,33.75,0
1683742597,25.5625,24.3125,25.0,0.0,37.5,0
1683742598,25.5625,24.3125,25.0,0.0,37.5,0
1683742599,25.5625,24.3125,25.0,0.0,33.75,0
1683742600,25.5625,24.3125,25.0,0.0,33.75,0
1683742601,25.5625,24.25,25.0,0.0,33.75,0
1683742602,25.5625,24.3125,25.0,0.0,33.75,0
1683742603,25.5,24.3125,25.0,0.0,33.75,0
1683742604,25.5625,24.3125,25.0,0.0,30.0,0
1683742605,25.5,24.3125,25.0,0.0,30.0,0
1683742606,25.5625,24.25,25.0,0.0,30.0,0
1683742607,25.5625,24.3125,25.0,0.0,30.0,0
1683742608,25.5625,24.3125,25.0,0.0,33.75,0
1683742610,25.5,24.25,25.0,0.0,33.75,0
1683742611,25.5625,24.25,25.0,0.0,30.0,0
1683742612,25.5625,24.3125,25.0,0.0,30.0,0
1683742613,25.5625,24.3125,25.0,0.0,33.75,0
1683742614,25.5625,24.25,25.0,0.0,33.75,0
1683742615,25.5,24.25,25.0,0.0,33.75,0
1683742616,25.5,24.25,25.0,0.0,33.75,0
1683742617,25.5625,24.3125,25.0,0.0,30.0,0
1683742618,25.5,24.3125,25.0,0.0,30.0,0
1683742619,25.5,24.3125,25.0,0.0,30.0,0
1683742620,25.5,24.25,25.0,0.0,30.0,0
1683742621,25.5625,24.3125,25.0,0.0,30.0,0
1683742622,25.5,24.3125,25.0,0.0,30.0,0
1683742623,25.5,24.3125,25.0,0.0,30.0,0
1683742624,25.5,24.3125,25.0,0.0,30.0,0
1683742625,25.5,24.3125,25.0,0.0,30.0,0
1683742626,25.5,24.3125,25.0,0.0,30.0,0
1683742627,25.5,24.3125,25.0,0.0,30.0,0
1683742628,25.5,24.25,25.0,0.0,30.0,0
1683742629,25.5,24.3125,25.0,0.0,30.0,0
1683742630,25.5,24.3125,25.0,0.0,30.0,0
1683742631,25.5,24.3125,25.0,0.0,30.0,0
1683742632,25.4375,24.3125,25.0,0.0,30.0,0
1683742633,25.4375,24.25,25.0,0.0,30.0,0
1683742634,25.4375,24.3125,25.0,0.0,26.25,0
1683742635,25.5,24.25,25.0,0.0,26.25,0
1683742636,25.4375,24.25,25.0,0.0,30.0,0
1683742637,25.5,24.3125,25.0,0.0,30.0,0
1683742639,25.4375,24.25,25.0,0.0,30.0,0
1683742640,25.4375,24.3125,25.0,0.0,30.0,0
1683742641,25.4375,24.3125,25.0,0.0,26.25,0
1683742642,25.4375,24.3125,25.0,0.0,26.25,0
