time,temp_in,temp_out,fan,heat,state
1682895618,23.625,0,0,0,0
1682895619,23.5625,0,0,0,0
1682895620,23.625,0,0,0,0
1682895621,23.625,0,0,0,0
1682895622,23.625,0,0,0,0
1682895623,23.625,0,0,0,0
1682895624,23.6875,0,0,0,0
1682895625,23.625,0,0,0,0
1682895626,23.625,0,0,0,0
1682895627,23.625,0,0,0,0
1682895628,23.625,0,0,0,0
1682895630,23.625,0,0,0,0
1682895631,23.6875,0,0,0,0
1682895632,23.625,0,0,0,0
1682895633,23.625,0,0,0,0
1682895634,23.6875,0,0,0,0
1682895635,23.625,0,0,0,0
1682895636,23.625,0,0,0,0
1682895637,23.625,0,0,0,0
1682895638,23.625,0,0,0,0
1682895639,23.625,0,0,0,0
1682895640,23.625,0,0,0,0
1682895641,23.6875,0,0,0,0
1682895642,23.625,0,0,0,0
1682895643,23.625,0,0,0,0
1682895644,23.625,0,0,0,0
1682895645,23.625,0,0,0,0
1682895646,23.625,0,0,0,0
1682895647,23.625,0,0,0,0
1682895648,23.625,0,0,0,0
1682895649,23.625,0,0,0,0
1682895650,23.625,0,0,0,0
1682895651,23.625,0,0,0,0
1682895652,23.625,0,0,0,0
1682895653,23.625,0,0,0,0
1682895654,23.625,0,0,0,0
1682895655,23.625,0,0,0,0
1682895656,23.625,0,0,0,0
1682895657,23.625,0,0,0,0
1682895658,23.625,0,0,0,0
1682895659,23.6875,0,0,0,0
1682895660,23.6875,0,0,0,0
1682895661,23.625,0,0,0,0
1682895662,23.625,0,0,0,0
1682895663,23.625,0,0,0,0
1682895664,23.625,0,0,0,0
1682895665,23.625,0,0,0,0
1682895666,23.6875,0,0,0,0
1682895667,23.6875,0,0,0,0
1682895668,23.6875,0,0,0,0
1682895669,23.6875,0,0,0,0
1682895670,23.6875,0,0,0,0
1682895671,23.6875,0,0,0,0
1682895672,23.625,0,0,0,0
1682895673,23.625,0,0,0,0
1682895674,23.625,0,0,0,0
1682895675,23.6875,0,0,0,0
1682895676,23.625,0,0,0,0
1682895677,23.6875,0,0,0,0
1682895678,23.6875,0,0,0,0
1682895679,23.6875,0,0,0,0
1682895681,23.6875,0,0,0,0
1682895682,23.625,0,0,0,0
1682895683,23.6875,0,0,0,0
1682895684,23.625,0,0,0,0
1682895685,23.625,0,0,0,0
1682895686,23.6875,0,0,0,0
1682895687,23.625,0,0,0,0
1682895688,23.6875,0,0,0,0
1682895689,23.625,0,0,0,0
1682895690,23.625,0,0,0,0
1682895691,23.6875,0,0,0,0
1682895692,23.6875,0,0,0,0
1682895693,23.6875,0,0,0,0
1682895694,23.6875,0,0,0,0
1682895695,23.625,0,0,0,0
