time,temp_in,temp_out,fan,heat,state
1682983218,23.375,0,0,0,0
1682983219,23.4375,0,0,0,0
1682983220,23.4375,0,0,0,0
1682983221,23.4375,0,0,0,0
1682983222,23.4375,0,0,0,0
1682983223,23.4375,0,0,0,0
1682983224,23.4375,0,0,0,0
1682983225,23.4375,0,0,0,0
1682983226,23.4375,0,0,0,0
1682983227,23.4375,0,0,0,0
1682983228,23.5,0,0,0,0
1682983229,23.4375,0,0,0,0
1682983230,23.5,0,0,0,0
1682983232,23.4375,0,0,0,0
1682983233,23.5,0,0,0,0
1682983234,23.5,0,0,0,0
1682983235,23.4375,0,0,0,0
1682983236,23.4375,0,0,0,0
1682983237,23.4375,0,0,0,0
1682983238,23.5,0,0,0,0
1682983239,23.5,0,0,0,0
1682983240,23.5,0,0,0,0
1682983241,23.4375,0,0,0,0
1682983242,23.5,0,0,0,0
1682983243,23.5,0,0,0,0
1682983244,23.5,0,0,0,0
1682983245,23.5,0,0,0,0
1682983246,23.5,0,0,0,0
1682983247,23.5,0,0,0,0
1682983248,23.5,0,0,0,0
1682983249,23.5,0,0,0,0
1682983250,23.5,0,0,0,0
1682983251,23.4375,0,0,0,0
1682983252,23.5,0,0,0,0
1682983253,23.5,0,0,0,0
1682983254,23.5,0,0,0,0
1682983255,23.5,0,0,0,0
1682983256,23.5,0,0,0,0
1682983257,23.5,0,0,0,0
1682983258,23.5,0,0,0,0
1682983259,23.5,0,0,0,0
1682983260,23.5,0,0,0,0
1682983261,23.5,0,0,0,0
1682983262,23.5,0,0,0,0
1682983263,23.5,0,0,0,0
1682983264,23.5,0,0,0,0
1682983265,23.5,0,0,0,0
1682983266,23.5,0,0,0,0
1682983267,23.5625,0,0,0,0
1682983268,23.5,0,0,0,0
1682983269,23.5,0,0,0,0
1682983270,23.5,0,0,0,0
1682983271,23.5625,0,0,0,0
1682983272,23.5,0,0,0,0
1682983273,23.5,0,0,0,0
1682983274,23.5,0,0,0,0
1682983275,23.5,0,0,0,0
1682983276,23.5,0,0,0,0
1682983277,23.5,0,0,0,0
1682983278,23.5,0,0,0,0
1682983279,23.5,0,0,0,0
1682983280,23.5,0,0,0,0
1682983281,23.5625,0,0,0,0
1682983282,23.5,0,0,0,0
1682983283,23.5,0,0,0,0
1682983284,23.5,0,0,0,0
1682983285,23.5,0,0,0,0
1682983286,23.5,0,0,0,0
1682983287,23.5625,0,0,0,0
1682983288,23.5625,0,0,0,0
1682983289,23.5,0,0,0,0
1682983290,23.5625,0,0,0,0
1682983292,23.5625,0,0,0,0
1682983293,23.5625,0,0,0,0
1682983294,23.5,0,0,0,0
1682983295,23.5625,0,0,0,0
1682983296,23.5625,0,0,0,0
1682983297,23.5625,0,0,0,0
1682983298,23.5625,0,0,0,0
